,종목명,진행상황,시장구분,종목코드,업종,대표자,기업구분,본점소재지,홈페이지,대표전화,최대주주,매출액,법인세비용차감전계속사업이익,순이익,자본금,총공모주식수,액면가,상장공모,희망공모가액,청약경쟁률,확정공모가,공모금액,주간사,주식수,청약한도,공모청약일,우리사주조합,우리사주조합 청약증거금율,기관투자자등,기관투자자 최고한도,일반투자자 청약증거금율,기관경쟁률,의무보유확약
706,케이비스팩10호,신규상장,코스닥,250930,금융지원 서비스업,정회동,중소일반,"서울특별시 영등포구 63로 40, 636호(여의도동, 라이프오피스텔)",www.yesuntech.com,,-,- (백만원),0 (백만원),- (백만원),521 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",1.25:1,"2,000 원","10,000 (백만원)",케이비투자증권,"1,000,000 주","100,000 주",2016.09.20 ~  2016.09.21,주,100%,"4,000,000 주 (80%)",- 주,100%,,0.00%
707,엘에스전선아시아,신규상장,거래소,229640,"회사본부, 지주회사 및 경영컨설팅 서비스업",명노현,중소일반,"경기도 안양시 동안구 엘에스로 127 (호계동, LS타워) 3층",www.lscnsasia.co.kr,031-428-0288,LS전선 80.4%,"200,134 (백만원)","8,168 (백만원)","6,111 (백만원)","15,312 (백만원)","12,650,140 주",500 원,"신주모집 : 920,216 주 (7.27%)
	/  구주매출 : 11,729,924 주 (92.73%)","10,000 ~ 11,500 원",2.98:1,"8,000 원","101,201 (백만원)","한국투자증권,하나금융투자,이베스트투자증권","2,530,028 주",- 주,2016.09.08 ~  2016.09.09,주,100%,"10,120,112 주 (80%)",- 주,50%,30.57:1,0.00%
708,유니테크노,신규상장,코스닥,241690,자동차 부품 제조업,이좌영,중소일반,부산광역시 사하구 신산로 13번길 54,www.unitekno.co.kr,051-203-5460,-,"58,425 (백만원)","10,498 (백만원)","8,010 (백만원)","2,981 (백만원)","1,500,000 주",500 원,"신주모집 : 1,500,000 주 (100%)","10,300 ~ 11,500 원",1003.29:1,"10,300 원","15,450 (백만원)",한국투자증권,"300,000 주","15,000 주",2016.09.05 ~  2016.09.06,"150,000 주  (10%)",100%,"1,050,000 주 (70%)",- 주,50%,233.84:1,0.00%
709,모두투어리츠,신규상장,거래소,204210,부동산 임대 및 공급업,정상만,중소일반,서울특별시 중구 소공로 116 서울센터빌딩 7층 701호,www.modetourreit.com,,-,"3,023 (백만원)",39 (백만원),22 (백만원),"39,134 (백만원)","2,350,000 주","5,000 원","신주모집 : 2,350,000 주 (100%)","6,000 ~ 6,000 원",0.98:1,"6,000 원","14,100 (백만원)","교보증권,케이비투자증권",주,"1,300,000 주",2016.09.01 ~  2016.09.02,주,100%,주,- 주,100%,,0.00%
710,하나금융스팩8호,신규상장,코스닥,250060,금융지원 서비스업,김정섭,중소일반,서울특별시 영등포구 의사당대로 82,www.mobiis.com,,-,- (백만원),0 (백만원),- (백만원),640 (백만원),"6,000,000 주",100 원,"신주모집 : 6,000,000 주 (100%)","2,000 ~ 2,000 원",0.74:1,"2,000 원","12,000 (백만원)",하나금융투자,"1,200,000 주","120,000 주",2016.08.30 ~  2016.08.31,주,100%,"4,800,000 주 (80%)",- 주,100%,,0.00%
711,교보비엔케이스팩,신규상장,코스닥,242040,기타 금융업,이창열,중소일반,서울특별시 영등포구 의사당대로 97,www.namutech.co.kr,,-,- (백만원),0 (백만원),- (백만원),711 (백만원),"6,000,000 주",100 원,"신주모집 : 6,000,000 주 (100%)","2,000 ~ 2,000 원",0.38:1,"2,000 원","12,000 (백만원)","교보증권,BNK투자증권","1,200,000 주",- 주,2016.08.29 ~  2016.08.30,주,100%,"4,800,000 주 (80%)",- 주,100%,,0.00%
712,자이글,신규상장,코스닥,234920,가정용 기기 제조업,이진희,중소일반,서울특별시 강서구 허준로 217 11층 1114호,zaigle.com,02-3665-9192,-,"101,923 (백만원)","16,797 (백만원)","13,488 (백만원)","6,765 (백만원)","4,480,000 주",500 원,"신주모집 : 2,240,000 주 (50%)
	/  구주매출 : 2,240,000 주 (50%)","20,000 ~ 23,000 원",610.76:1,"11,000 원","49,280 (백만원)","하나금융투자,케이비투자증권","448,000  주",- 주,2016.08.25 ~  2016.08.26,"35,000  주  (1.56%)",100%,"1,757,000  주 (78.44%)",- 주,50%,18.90:1,0.00%
713,헝셩그룹,신규상장,코스닥,900270,"인형,장난감 및 오락용품 제조업",쉬원제,중소일반,"ROOM 6, 3F., Lladro Centre, 72-80 Hoi Yuen Road, Kwun Tong",,,-,- (백만원),0 (백만원),- (백만원),- (백만원),"20,000,000 주",- 원,"신주모집 : 20,000,000 주 (100%)","3,400 ~ 5,300 원",0.77:1,"3,600 원","72,000 (백만원)",신한금융투자,"4,000,000 주","400,000 주",2016.08.08 ~  2016.08.09,주,100%,"16,000,000 주 (80%)",- 주,50%,93.06:1,0.00%
714,에코마케팅,신규상장,코스닥,230360,광고 대행업,김철웅,중소일반,"서울특별시 강남구 학동로 343 (논현동, 포바강남타워) 5층",www.echomarketing.co.kr,,-,"19,665 (백만원)","11,906 (백만원)","9,306 (백만원)",812 (백만원),"1,100,000 주",100 원,"신주모집 : 1,100,000 주 (100%)","27,000 ~ 31,000 원",1103:1,"35,000 원","38,500 (백만원)",한국투자증권,"220,000 주","11,000 주",2016.07.26 ~  2016.07.27,주,100%,"880,000 주 (80%)",- 주,50%,941.86:1,0.00%
715,엔지스테크널러지,신규상장,코스닥,208860,소프트웨어 개발 및 공급업,박용선,중소일반,서울특별시 성동구 아차산로 49 서울숲코오롱디지털타워 3차 10층,engistech.com,02-2117-0855,-,"6,328 (백만원)","2,233 (백만원)","1,753 (백만원)","2,500 (백만원)","467,000 주",500 원,"신주모집 : 467,000 주 (100%)","8,900 ~ 10,000 원",562.94:1,"10,000 원","4,670 (백만원)","교보증권,엘아이지투자증권","93,400 주","6,500 주",2016.07.19 ~  2016.07.20,"70,050 주  (15%)",100%,"303,550 주 (65%)",- 주,50%,475.6:1,21.20%
716,팍스넷,신규상장,코스닥,038160,기타 정보 서비스업,김영무,중소일반,서울특별시 양천구 목동서로 201 (KT정보전산센터 23층),www.paxnet.co.kr,1688-5010,아시아경제 60%,"20,588 (백만원)","4,521 (백만원)","3,631 (백만원)","5,538 (백만원)","2,769,000 주",500 원,"신주모집 : 2,769,000 주 (100%)","4,600 ~ 5,200 원",946.51:1,"5,200 원","14,399 (백만원)",한국투자증권,"553,800 주","25,000 주",2016.07.19 ~  2016.07.20,"276,900 주  (10%)",100%,"1,938,300 주 (70%)",- 주,50%,753.07:1,5.19%
717,두올,신규상장,거래소,016740,자동차 부품 제조업,조인회,중소일반,서울특별시 강남구 영동대로96길 20 대화빌딩 2층,www.idual.co.kr,02-6922-7133,아이에이치씨 36.7%,"176,362 (백만원)","6,647 (백만원)","6,549 (백만원)","45,589 (백만원)","7,300,000 주","2,500 원","신주모집 : 2,920,000 주 (40%)
	/  구주매출 : 4,380,000 주 (60%)","7,500 ~ 9,000 원",2.17:1,"8,500 원","62,050 (백만원)","미래에셋증권,HMC투자증권","1,460,000 주","65,000 주",2016.07.19 ~  2016.07.20,"1,460,000 주  (20%)",100%,"4,380,000 주 (60%)",- 주,50%,71.69:1,0.00%
718,우리손에프앤지,신규상장,코스닥,073560,축산업,조창현,중소일반,전라남도 나주시 반남면 장송길 73,,031-8014-4254,이지바이오 65%,"155,022 (백만원)","22,828 (백만원)","14,990 (백만원)","30,578 (백만원)","18,211,530 주",500 원,"신주모집 : 9,105,780 주 (50%)
	/  구주매출 : 9,105,750 주 (50%)","1,935 ~ 2,210 원",638.97:1,"2,210 원","40,247 (백만원)",미래에셋대우,"3,642,306  주","182,000 주",2016.07.18 ~  2016.07.19,"1,821,153  주  (10%)",100%,"12,748,071  주 (70%)",- 주,50%,455.1:1,40.40%
719,옵토팩,신규상장,코스닥,123010,전자부품 제조업,김덕훈,중소일반,충청북도 청주시 흥덕구 옥산면 과학산업1로 114,www.optopac.com,043-218-7866,-,"31,661 (백만원)",-356 (백만원),-356 (백만원),"2,409 (백만원)","700,000 주",500 원,"신주모집 : 700,000 주 (100%)","5,000 ~ 5,900 원",371.21:1,"5,900 원","4,130 (백만원)",아이비케이투자증권,"140,000 주","7,000 주",2016.07.11 ~  2016.07.12,"50,000 주  (7.14%)",100%,"510,000 주 (72.86%)",- 주,50%,397.4:1,2.82%
720,장원테크,신규상장,코스닥,174880,통신 및 방송 장비 제조업,박세혁,중소일반,경상북도 구미시 1공단로7길 14-9,jangwontech.co.kr,054-473-8116,-,"202,485 (백만원)","25,115 (백만원)","21,381 (백만원)","3,022 (백만원)","1,500,000 주",500 원,"신주모집 : 1,200,000 주 (80%)
	/  구주매출 : 300,000 주 (20%)","15,000 ~ 17,500 원",854.49:1,"17,500 원","26,250 (백만원)",신한금융투자,"300,000 주","24,000 주",2016.07.07 ~  2016.07.08,"150,000 주  (10%)",100%,"1,050,000 주 (70%)",- 주,50%,216.32:1,11.30%
721,대유위니아(구.위니아만도),신규상장,코스닥,071460,기타 가정용 전기기기 제조업,박성관,중소일반,충청남도 아산시 탕정면 선문로254번길 12,www.dayou-winia.com,1588-9588,위니아대유 65%,- (백만원),0 (백만원),- (백만원),"12,055 (백만원)","7,500,000 주",500 원,"신주모집 : 7,500,000 주 (100%)","6,800 ~ 8,300 원",409.31:1,"6,800 원","51,000 (백만원)",신영증권,"1,500,000 주","100,000 주",2016.07.04 ~  2016.07.05,"1,125,000 주  (15%)",100%,"4,875,000 주 (65%)",- 주,50%,76.75:1,1.32%
722,한국자산신탁,신규상장,거래소,123890,기타 금융업,김규철,중소일반,"서울특별시 강남구 테헤란로 306 (역삼동, 카이트타워)",www.hanglas.co.kr,02-2112-6333,엠디엠 50.56%,"83,392 (백만원)","49,141 (백만원)","36,292 (백만원)","42,500 (백만원)","27,297,345 주",500 원,"신주모집 : 27,297,345 주 (100%)","9,100 ~ 10,300 원",6.65:1,"10,300 원","281,163 (백만원)","대신증권,신한금융투자,미래에셋대우","5,459,469 주","215,000 주",2016.06.30 ~  2016.07.01,"5,459,469 주  (20%)",100%,"16,378,407 주 (60%)",- 주,50%,149.83:1,6.37%
723,바이오리더스,신규상장,코스닥,142760,의약용 화합물 및 항생물질 제조업,"성문희, 김상석",중소일반,대전광역시 유성구 테크노8로 13,www.bioleaders.co.kr,042-934-7671,-,"1,167 (백만원)","-4,765 (백만원)","-5,429 (백만원)","6,177 (백만원)","1,200,000 주",500 원,"신주모집 : 1,200,000 주 (100%)","11,000 ~ 15,000 원",1222.58:1,"15,000 원","18,000 (백만원)",키움증권,"240,000 주","24,000 주",2016.06.27 ~  2016.06.28,"66,000 주  (5.5%)",100%,"894,000 주 (74.5%)",- 주,50%,352.2:1,6.50%
724,피앤씨테크,신규상장,코스닥,237750,배전반 및 전기자동제어반 제조업,조광식,중소일반,경기도 안양시 동안구 전파로104번길 62 (호계동),www.pnctech.co.kr,02-2240-8192,-,"23,950 (백만원)","5,937 (백만원)","4,889 (백만원)","3,248 (백만원)","2,650,000 주",500 원,"신주모집 : 2,650,000 주 (100%)","9,000 ~ 10,200 원",679.77:1,"10,200 원","27,030 (백만원)",케이비투자증권,"530,000 주","50,000 주",2016.06.22 ~  2016.06.23,"128,000주 주  (4.83%)",100%,"1,992,000 주 (75.17%)",- 주,50%,306.39:1,10.89%
725,로스웰,신규상장,코스닥,900260,자동차 부품 제조업,저우샹동,중소일반,"Fairmont House, No. 8 Cotton Tree Drive, Admiralty Hong Kong",,,저우샹동 53%,- (백만원),0 (백만원),- (백만원),- (백만원),"30,000,000 주",- 원,"신주모집 : 30,000,000 주 (100%)","2,100 ~ 3,200 원",328.18:1,"3,200 원","96,000 (백만원)",신한금융투자,"6,000,000 주","600,000 주",2016.06.17 ~  2016.06.20,주,100%,"24,000,000 주 (80%)",- 주,50%,386.96:1,26.60%
726,녹십자랩셀,신규상장,코스닥,144510,"그외 기타 분류안된 전문, 과학 및 기술 서비스업",박복수,중소일반,경기도 용인시 기흥구 이현로30번길 107 (보정동) 목암빌딩 4층,www.gclabcell.com,031-260-9690,-,"34,489 (백만원)","3,274 (백만원)","2,260 (백만원)","5,277 (백만원)","2,000,000 주",500 원,"신주모집 : 2,000,000 주 (100%)","13,600 ~ 15,900 원","799,76:1","18,500 원","37,000 (백만원)","하나금융투자,엘아이지투자증권","400,000 주",- 주,2016.06.15 ~  2016.06.16,"400,000 주  (20%)",100%,"1,200,000 주 (60%)",- 주,50%,733.72:1,51.66%
727,해성디에스,신규상장,거래소,195870,기타 비철금속 광업,조돈엽,중소일반,경상남도 창원시 성산구 웅남로 726,www.haesungds.com,070-4761-0000,계양전기 19%,"246,043 (백만원)","17,809 (백만원)","14,687 (백만원)","85,000 (백만원)","4,000,000 주","5,000 원","신주모집 : 4,000,000 주 (100%)","12,000 ~ 15,000 원",158.41:1,"12,000 원","48,000 (백만원)",NH투자증권,"800,000 주","32,000 주",2016.06.15 ~  2016.06.16,"800,000 주  (20%)",100%,"2,400,000 주 (60%)",- 주,50%,188.69:1,12.20%
728,에스티팜,신규상장,코스닥,237690,의약품 제조업,임근조,중소일반,경기도 시흥시 협력로 231 시화공단 1나 802호,www.stpharm.co.kr,02-527-6318,-,"138,052 (백만원)","35,602 (백만원)","25,189 (백만원)","9,328 (백만원)","4,664,000 주",500 원,"신주모집 : 4,664,000 주 (100%)","24,000 ~ 27,000 원",236.85:1,"29,000 원","135,256 (백만원)","유진투자증권,한국투자증권","932,800 주","46,000 주",2016.06.15 ~  2016.06.16,"932,800 주  (20%)",100%,"2,798,400 주 (60%)",- 주,50%,717.41:1,60.03%
729,한국스팩4호,신규상장,코스닥,240540,금융지원 서비스업,박진수,중소일반,서울특별시 영등포구 의사당대로 88,,,-,- (백만원),0 (백만원),- (백만원),550 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",0.37:1,"2,000 원","10,000 (백만원)",한국투자증권,"1,000,000 주","50,000 주",2016.06.13 ~  2016.06.14,주,100%,"4,000,000 주 (80%)",- 주,100%,,0.00%
730,알엔투테크놀로지,신규상장,코스닥,148250,무선통신 소재 및 부품 제조업,이효종,중소일반,경기도 화성시 동탄면 동탄산단 9길 11,www.rn2.co.kr,031-376-5400,-,"10,256 (백만원)","1,988 (백만원)","1,696 (백만원)","3,164 (백만원)","670,000 주",500 원,"신주모집 : 670,000 주 (100%)","5,100 ~ 5,800 원","1,442.55:1","5,800 원","3,886 (백만원)",하나금융투자,"134,000 주","13,000 주",2016.06.13 ~  2016.06.14,"100,000 주  (14.9%)",100%,"436,000 주 (65.1%)",- 주,50%,570.26:1,0.00%
731,미래에셋스팩5호,신규상장,코스닥,239340,금융지원 서비스업,김남기,중소일반,"서울특별시 중구 을지로5길 26, 동관16층 (미래에셋센터원빌딩)",zuminternet.co.kr,,-,- (백만원),0 (백만원),- (백만원),480 (백만원),"4,500,000 주",100 원,"신주모집 : 4,500,000 주 (100%)","2,000 ~ 2,000 원",3.73:1,"2,000 원","9,000 (백만원)",미래에셋증권,"900,000 주","45,000 주",2016.05.30 ~  2016.05.31,주,100%,"3,600,000 주 (80%)",- 주,100%,,0.00%
732,용평리조트,신규상장,거래소,070960,휴양콘도 운영업,정창주,중소일반,강원도 평창군 도암면 용산 130,www.yongpyong.co.kr,033-335-5757,-,"133,592 (백만원)","5,388 (백만원)","3,956 (백만원)","99,990 (백만원)","16,720,000 주","5,000 원","신주모집 : 16,720,000 주 (100%)","8,100 ~ 9,200 원",291.1:1,"7,000 원","117,040 (백만원)","대우증권,대신증권","3,344,000 주","100,000 주",2016.05.17 ~  2016.05.18,주,100%,"13,376,000 주 (80%)",- 주,50%,28.1:1,0.10%
733,해태제과식품,신규상장,거래소,101530,기타 식품 제조업,신정훈,중소일반,충청남도 천안시 서북구 성거읍 천흥8길 67-26,www.ht.co.kr,02-709-7448,크라운제과 66.62%,"689,963 (백만원)","6,491 (백만원)","4,275 (백만원)","13,764 (백만원)","5,830,000 주",500 원,"신주모집 : 5,830,000 주 (100%)","12,300 ~ 15,100 원",264.9:1,"15,100 원","88,033 (백만원)","NH투자증권,삼성증권","1,166,000  주","23,200 주",2016.04.27 ~  2016.04.28,"1,166,000  주  (20%)",100%,"3,498,000  주 (60%)",- 주,50%,342.99:1,24.63%
734,레이언스,신규상장,코스닥,228850,방사선 장치 제조업,현정훈,중소일반,"경기 화성시 석우동 23-8,2층",www.rayence.com,031-8015-6424,바텍 42.83%,"77,943 (백만원)","4,088 (백만원)","3,217 (백만원)","8,295 (백만원)","4,000,000 주",500 원,"신주모집 : 4,000,000 주 (100%)","22,000 ~ 25,000 원",328.14:1,"25,000 원","100,000 (백만원)",대신증권,"800,000 주","75,000 주",2016.03.30 ~  2016.03.31,주,100%,"3,200,000 주 (80%)",- 주,50%,430.31:1,20.70%
735,씨엠에스에듀,신규상장,코스닥,225330,일반 교과 학원,이충국,중소일반,서울특별시 서초구 논현로 175,,02-3445-1288,청담러닝 60%,"38,273 (백만원)","8,217 (백만원)","6,408 (백만원)","2,102 (백만원)","1,240,000 주",500 원,"신주모집 : 1,240,000 주 (100%)","19,000 ~ 23,200 원",185.81:1,"23,200 원","28,768 (백만원)","삼성증권,유안타증권","248,000 주","9,000 주",2016.03.29 ~  2016.03.30,"248,000 주  (20%)",100%,"744,000 주 (60%)",- 주,50%,302.17:1,28.83%
736,동양파일,신규상장,코스닥,228340,"시멘트, 석회, 플라스터 및 그 제품 제조업",김시년,중소일반,충청남도 아산시 염치읍 아산온천로 16-127,www.tongyangphc.com,02-3770-3305,한림건설 50%,"105,198 (백만원)","10,852 (백만원)","9,708 (백만원)","10,000 (백만원)","8,000,000 주",500 원,"신주모집 : 4,000,000 주 (50%)
	/  구주매출 : 4,000,000 주 (50%)","10,000 ~ 11,600 원",2.03:1,"10,000 원","80,000 (백만원)",대신증권,"800,000 주","80,000 주",2016.03.28 ~  2016.03.29,주,100%,"3,200,000 주 (80%)",- 주,50%,12.56:1,0.00%
737,대림씨엔에스,신규상장,거래소,004440,"시멘트, 석회, 플라스터 및 그 제품 제조업",송범,중소일반,서울특별시 중구 을지로5길 16 삼화타워 5층,www.daelimcns.co.kr,02-311-3300,대림산업 83.3%,"257,906 (백만원)","25,210 (백만원)","19,318 (백만원)","12,731 (백만원)","4,456,181 주","1,000 원","신주모집 : 4,456,181 주 (100%)","23,500 ~ 27,700 원",25.5:1,"27,700 원","123,436 (백만원)",대우증권,"891,236 주","35,500 주",2016.03.21 ~  2016.03.22,"891,236 주  (20%)",100%,"2,673,709 주 (60%)",- 주,50%,85.25:1,15.90%
738,팬젠,신규상장,코스닥,222110,생물학적 제제 제조업,윤재승,중소일반,경기도 수원시 영통구 원천동 552 영통이노플렉스 2동 4층,www.pangen.com,031-733-9165,-,"3,400 (백만원)","-3,012 (백만원)","-2,120 (백만원)","4,317 (백만원)","1,500,000 주",500 원,"신주모집 : 1,500,000 주 (100%)","12,500 ~ 16,500 원",1073:1,"16,500 원","24,750 (백만원)",한국투자증권,"300,000 주","15,000 주",2016.03.02 ~  2016.03.03,주,100%,"1,200,000 주 (80%)",- 주,50%,614.46:1,14.04%
739,에이피위성통신,신규상장,코스닥,211270,통신 및 방송 장비 제조업,류장수,중소일반,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층,www.apsi.co.kr,02-2026-7700,-,"34,571 (백만원)","8,625 (백만원)","7,042 (백만원)","6,548 (백만원)","3,258,000 주",500 원,"신주모집 : 3,258,000 주 (100%)","8,700 ~ 9,700 원",869.66:1,"9,700 원","31,603 (백만원)",현대증권,"651,600 주","30,000 주",2016.02.23 ~  2016.02.24,"325,800 주  (10%)",100%,"2,280,600 주 (70%)",- 주,50%,271.55:1,7.80%
740,하이에이아이스팩1호,신규상장,코스닥,235010,,최종혁,중소일반,서울특별시 영등포구 여의나루로 61 하이투자증권빌딩 13F,,,-,- (백만원),0 (백만원),- (백만원),495 (백만원),"4,600,000 주",100 원,"신주모집 : 4,600,000 주 (100%)","2,000 ~ 2,000 원",1.16:1,"2,000 원","9,200 (백만원)",하이투자증권,"920,000 주","92,000 주",2016.02.23 ~  2016.02.24,주,100%,"3,680,000 주 (80%)",- 주,100%,,0.00%
741,IBKS스팩4호,신규상장,코스닥,230980,기타 금융업,이동헌,중소일반,,www.soltworks.com,,-,- (백만원),0 (백만원),- (백만원),200 (백만원),"1,750,000 주",100 원,"신주모집 : 1,750,000 주 (100%)","2,000 ~ 2,000 원",23.76:1,"2,000 원","3,500 (백만원)",아이비케이투자증권,"350,000 주","17,500 주",2016.02.19 ~  2016.02.22,주,100%,"1,400,000 주 (80%)",- 주,100%,,0.00%
742,케이비스팩9호,신규상장,코스닥,232270,금융지원 서비스업,최웅,중소일반,"서울특별시 양천구 목동동로 293, 2304호 (목동, 현대41타워)",,,-,- (백만원),-4 (백만원),-4 (백만원),"1,381 (백만원)","13,500,000 주",100 원,"신주모집 : 13,500,000 주 (100%)","2,000 ~ 2,000 원",0.24:1,"2,000 원","27,000 (백만원)",케이비투자증권,"2,700,000 주","200,000 주",2016.02.18 ~  2016.02.19,주,100%,"10,800,000 주 (80%)",- 주,100%,,0.00%
743,큐리언트,신규상장,코스닥,115180,의학 및 약학 연구개발업,남기연,중소일반,"경기도 성남시 분당구 판교로 242, C동 8층",www.qurient.com,031-8060-1600,한국파스퇴르연구서 17%,215 (백만원),"-10,706 (백만원)","-10,706 (백만원)","3,613 (백만원)","1,548,000 주",500 원,"신주모집 : 1,548,000 주 (100%)","18,000 ~ 21,000 원",959.28:1,"21,000 원","32,508 (백만원)",한국투자증권,"309,600 주","15,000 주",2016.02.18 ~  2016.02.19,"12,777 주  (0.8%)",100%,"1,225,623 주 (79.2%)",- 주,50%,709.15:1,35.24%
744,안트로젠,신규상장,코스닥,065660,의학 및 약학 연구개발업,이성구,중소일반,서울특별시 금천구 가산동 345-30번지 남성플라자 405호,www.anterogen.com,02-2104-0391,-,"1,834 (백만원)","-1,416 (백만원)","-1,416 (백만원)","3,731 (백만원)","700,000 주",500 원,"신주모집 : 700,000 주 (100%)","17,000 ~ 22,000 원",1442.55:1,"24,000 원","16,800 (백만원)",키움증권,"140,000 주","14,000 주",2016.02.01 ~  2016.02.02,"60,000 주  (8.6%)",100%,"500,000 주 (71.4%)",12 주,50%,531.1:1,30.60%
745,제이에스코퍼레이션,신규상장,거래소,194370,"가죽, 가방 및 유사제품 제조업",홍재성,중소일반,서울특별시 강남구 개포로 640,www.jskor.com/,02-421-2311,-,"162,608 (백만원)","25,750 (백만원)","20,087 (백만원)","1,313 (백만원)","3,283,132 주",100 원,"신주모집 : 3,283,132 주 (100%)","19,000 ~ 23,000 원",477.76:1,"23,000 원","75,512 (백만원)",NH투자증권,"656,627 주","21,000 주",2016.01.26 ~  2016.01.27,"656,627  주  (20%)",100%,"1,969,878 주 (60%)",- 주,50%,433.6:1,35.90%
746,아이엠텍,신규상장,코스닥,226350,인쇄회로기판 제조업,이재석,중소일반,경기 파주시 월롱면 덕은리 파주LCD산업단지 663-20,im-tech.com,031-8071-2581,우리ETI 54%,"46,553 (백만원)","5,835 (백만원)","5,180 (백만원)","8,393 (백만원)","4,300,000 주",500 원,"신주모집 : 4,300,000 주 (100%)","6,500 ~ 7,500 원",138.9:1,"7,500 원","32,250 (백만원)",대우증권,"860,000 주","25,000 주",2016.01.26 ~  2016.01.27,"470,000 주  (10.9%)",100%,"2,970,000 주 (69.1%)",- 주,50%,112.3:1,25.00%
747,차이나크리스탈신소재,신규상장,코스닥,900250,기타 비금속 광물제품 제조업,다이자룽,중소일반,,www.crystalnewmaterial.com,,-,- (백만원),0 (백만원),- (백만원),"34,631 (백만원)","9,300,000 주",562 원,"신주모집 : 9,300,000 주 (100%)","2,900 ~ 4,200 원",179.54:1,"3,000 원","27,900 (백만원)",신한금융투자,"1,860,000 주","160,000 주",2016.01.21 ~  2016.01.22,주,100%,"7,440,000 주 (80%)",- 주,50%,36.30:1,0.90%
748,유니트론텍,신규상장,코스닥,142210,기계장비 및 관련 물품 도매업,남궁선,중소일반,"서울특별시 강남구 영동대로 638 9층(삼성동, 삼보빌딩)",www.unitrontech.com,02-573-6800,-,"86,379 (백만원)","7,055 (백만원)","5,657 (백만원)","1,655 (백만원)","655,000 주",500 원,"신주모집 : 655,000 주 (100%)","12,300 ~ 14,000 원",1112.76:1,"14,000 원","9,170 (백만원)",하나금융투자,"131,000 주","13,000 주",2016.01.21 ~  2016.01.22,"40,000 주  (6.11%)",100%,"484,000 주 (73.89%)",- 주,50%,455.80:1,21.70%
749,한솔씨앤피,신규상장,코스닥,221610,기타 화학제품 제조업,최진명,중소일반,경기도 안산시 단원구 강촌로 203,www.hansolcnp.com,031-364-7414,한솔케미칼 78.95%,"50,873 (백만원)","4,059 (백만원)","3,745 (백만원)","1,730 (백만원)","900,000 주",500 원,"신주모집 : 900,000 주 (100%)","13,000 ~ 16,800 원",789.84:1,"13,000 원","11,700 (백만원)","신한금융투자,케이비투자증권","180,000 주","7,000 주",2016.01.19 ~  2016.01.20,"56,000 주  (6.2%)",100%,"664,000 주 (73.8%)",- 주,50%,136.97:1,5.97%
750,코리아오토글라스,신규상장,거래소,344820,유리 및 유리제품 제조업,우종철,중소일반,세종특별자치시 전의면 산단길 134,www.kccglass.co.kr,02-3480-5065,케이씨씨 40%,"429,725 (백만원)","32,896 (백만원)","25,480 (백만원)","100,000 (백만원)","8,040,000 주","5,000 원","신주모집 : 8,040,000 주 (100%)","10,500 ~ 12,000 원",430.14:1,"11,000 원","88,440 (백만원)",NH투자증권,"1,608,000 주","64,000 주",2015.12.21 ~  2015.12.22,"1,608,000 주  (20%)",100%,"4,824,000 주 (80%)",- 주,50%,57.68:1,4.47%
751,에스와이패널,신규상장,코스닥,109610,기타 1차 철강 제조업,홍영돈,중소일반,경기도 수원시 권선구 경수대로 261 리치타워 7층,www.sypanel.com,031-222-4029,-,"151,338 (백만원)","2,358 (백만원)","2,046 (백만원)","3,100 (백만원)","2,135,922 주",500 원,"신주모집 : 2,135,922 주 (100%)","7,000 ~ 8,000 원",363.49:1,"5,000 원","10,680 (백만원)",미래에셋증권,"427,185 주","21,000 주",2015.12.17 ~  2015.12.18,"427,184 주  (20%)",100%,"1,281,553 주 (60%)",- 주,50%,4.88:1,0.00%
752,잇츠스킨,신규상장,거래소,226320,화장품 도매업,유근직,중소일반,서울특별시 강남구 논현2동 249번지 3층,www.itsskin.com/,,한불화장품 56%,"241,884 (백만원)","100,819 (백만원)","76,331 (백만원)","4,367 (백만원)","948,317 주",500 원,"신주모집 : 948,317 주 (100%)","208,500 ~ 253,000 원",219.27:1,"170,000 원","161,214 (백만원)","대우증권,삼성증권","189,664 주","5,400 주",2015.12.17 ~  2015.12.18,"189,664 주  (20%)",100%,568989 주 (60%),- 주,50%,11.53:1,8.70%
753,육일씨엔에쓰,신규상장,코스닥,191410,액정 평판 디스플레이 제조업,"구자옥, 김동훈",중소일반,"서울특별시 영등포구 영등포로5길 19, 311호 (양평동2가, 동아프라임밸리)",www.61cns.co.kr,02-2659-1116,-,"106,932 (백만원)","6,320 (백만원)","2,958 (백만원)","4,261 (백만원)","700,000 주",500 원,"신주모집 : 700,000 주 (100%)","6,000 ~ 6,700 원",21.02:1,"6,000 원","4,200 (백만원)",엘아이지투자증권,"140,000 주","14,000 주",2015.12.15 ~  2015.12.16,"105,000 주  (15%)",100%,"455,000 주 (65%)",- 주,50%,8.74:1,0.00%
